INSEE,LIBGEO,DEP,REG,loypredm2_Maison2018,lwr.IPm2_Maison2018,upr.IPm2_Maison2018,loypredm2_Appart2018,lwr.IPm2_Appart2018,upr.IPm2_Appart2018
1001,L'Abergement-Clémenciat,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1002,L'Abergement-de-Varey,1,84,7.441198704,5.672104712,9.76206205,8.63555202,6.72107751,11.09535764
1004,Ambérieu-en-Bugey,1,84,8.411183934,6.291931917,11.2442436,10.07450708,7.865307059,12.90422511
1005,Ambérieux-en-Dombes,1,84,9.039551135,6.861075317,11.90971983,9.372335348,7.409663525,11.85487972
1006,Ambléon,1,84,8.058264927,6.438139908,10.08608613,8.96695486,7.101593346,11.3222872
1007,Ambronay,1,84,7.441198704,5.672104712,9.76206205,9.039235908,7.020316189,11.6387615
1008,Ambutrix,1,84,8.022279401,6.031206054,10.67066292,8.63555202,6.72107751,11.09535764
1009,Andert-et-Condon,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1010,Anglefort,1,84,10.53812742,8.012121322,13.86051523,11.17266393,8.784753942,14.20966599
1011,Apremont,1,84,7.441198704,5.672104712,9.76206205,8.931484912,7.042985101,11.3263654
1012,Aranc,1,84,7.441198704,5.672104712,9.76206205,8.63555202,6.72107751,11.09535764
1013,Arandas,1,84,6.552576269,4.894431339,8.772470749,8.899090638,6.738875339,11.75178501
1014,Arbent,1,84,7.149631086,5.471062278,9.343199194,9.657218407,7.419209935,12.57032328
1015,Arboys en Bugey,1,84,8.058264927,6.438139908,10.08608613,8.96695486,7.101593346,11.3222872
1016,Arbigny,1,84,6.521640471,5.152487582,8.254613671,8.609190063,6.502321926,11.39872101
1017,Argis,1,84,6.552576269,4.894431339,8.772470749,7.587898836,5.650173988,10.19016563
1019,Armix,1,84,7.441198704,5.672104712,9.76206205,8.899090638,6.738875339,11.75178501
1021,Ars-sur-Formans,1,84,9.039551135,6.861075317,11.90971983,11.2670645,8.83474196,14.36903793
1022,Artemare,1,84,7.441198704,5.672104712,9.76206205,8.899090638,6.738875339,11.75178501
1023,Asnières-sur-Saône,1,84,7.479481394,6.039392664,9.262958221,8.609190063,6.502321926,11.39872101
1024,Attignat,1,84,8.205661716,6.433565439,10.46587383,9.469397654,7.488389223,11.97446998
1025,Bâgé-la-Ville,1,84,7.502677858,6.173124137,9.118587896,8.476782424,6.60874808,10.87283694
1026,Bâgé-le-Châtel,1,84,7.502677858,6.173124137,9.118587896,8.476782424,6.60874808,10.87283694
1027,Balan,1,84,9.168363816,7.217073701,11.64722692,12.09755502,9.686133227,15.10931494
1028,Baneins,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1029,Beaupont,1,84,7.205213143,5.550245815,9.353657147,7.630536274,5.961964682,9.766090028
1030,Beauregard,1,84,9.915328882,7.667311647,12.82245347,9.100848778,7.274265274,11.38609129
1031,Bellignat,1,84,7.149631086,5.471062278,9.343199194,8.404109042,6.948630336,10.16445621
1032,Béligneux,1,84,9.168363816,7.217073701,11.64722692,12.09242096,9.684041994,15.09975326
1033,Bellegarde-sur-Valserine,1,84,12.05436803,8.846217204,16.42598019,11.84552944,9.63060107,14.56986607
1034,Belley,1,84,7.98147893,6.368621103,10.00279415,9.693040132,7.672879933,12.24507979
1035,Belleydoux,1,84,7.441198704,5.672104712,9.76206205,7.731821755,5.926937435,10.08633351
1036,Belmont-Luthézieu,1,84,7.441198704,5.672104712,9.76206205,8.899090638,6.738875339,11.75178501
1037,Bénonces,1,84,7.191566341,5.188493847,9.96794599,8.899090638,6.738875339,11.75178501
1038,Bény,1,84,7.205213143,5.550245815,9.353657147,9.026142078,7.136885571,11.41551731
1039,Béon,1,84,7.441198704,5.672104712,9.76206205,11.17266393,8.784753942,14.20966599
1040,Béréziat,1,84,7.502677858,6.173124137,9.118587896,8.935439483,6.75482918,11.81999968
1041,Bettant,1,84,8.022279401,6.031206054,10.67066292,8.899090638,6.738875339,11.75178501
1042,Bey,1,84,8.191701105,6.585771255,10.1892344,8.89283382,6.990386987,11.3130351
1043,Beynost,1,84,11.05945355,8.240005672,14.84361999,12.17381472,9.560375674,15.50166751
1044,Billiat,1,84,9.729397173,7.139324257,13.25912172,8.585799582,6.342409501,11.62270497
1045,Birieux,1,84,8.986277612,6.908752876,11.6885329,11.2670645,8.83474196,14.36903793
1046,Biziat,1,84,7.502677858,6.173124137,9.118587896,8.476782424,6.60874808,10.87283694
1047,Blyes,1,84,9.168363816,7.217073701,11.64722692,8.63555202,6.72107751,11.09535764
1049,La Boisse,1,84,11.05945355,8.240005672,14.84361999,11.66263876,9.16435573,14.84197547
1050,Boissey,1,84,7.479481394,6.039392664,9.262958221,8.609190063,6.502321926,11.39872101
1051,Bolozon,1,84,7.149631086,5.471062278,9.343199194,7.549618934,5.899042169,9.662034007
1052,Bouligneux,1,84,9.039551135,6.861075317,11.90971983,9.372335348,7.409663525,11.85487972
1053,Bourg-en-Bresse,1,84,8.547945374,6.648278393,10.99041974,9.804855407,7.580523373,12.68186705
1054,Bourg-Saint-Christophe,1,84,8.986277612,6.908752876,11.6885329,11.2670645,8.83474196,14.36903793
1056,Boyeux-Saint-Jérôme,1,84,7.441198704,5.672104712,9.76206205,8.63555202,6.72107751,11.09535764
1057,Boz,1,84,7.479481394,6.039392664,9.262958221,8.609190063,6.502321926,11.39872101
1058,Brégnier-Cordon,1,84,8.058264927,6.438139908,10.08608613,8.96695486,7.101593346,11.3222872
1059,Brénaz,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1060,Brénod,1,84,7.149631086,5.471062278,9.343199194,8.585799582,6.342409501,11.62270497
1061,Brens,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1062,Bressolles,1,84,8.986277612,6.908752876,11.6885329,11.2670645,8.83474196,14.36903793
1063,Brion,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1064,Briord,1,84,7.191566341,5.188493847,9.96794599,8.913989437,7.024343217,11.31197683
1065,Buellas,1,84,7.961274819,6.186522222,10.24515786,8.476782424,6.60874808,10.87283694
1066,La Burbanche,1,84,6.552576269,4.894431339,8.772470749,8.899090638,6.738875339,11.75178501
1067,Ceignes,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1068,Cerdon,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1069,Certines,1,84,8.205661716,6.433565439,10.46587383,8.20294543,6.274551686,10.72400342
1071,Cessy,1,84,19.02843123,14.0515516,25.7680579,18.97388884,14.63665494,24.59636161
1072,Ceyzériat,1,84,8.211373554,6.436585476,10.47553177,8.79724444,6.724221931,11.5093628
1073,Ceyzérieu,1,84,7.441198704,5.672104712,9.76206205,8.899090638,6.738875339,11.75178501
1074,Chalamont,1,84,7.205213143,5.550245815,9.353657147,9.577749545,7.59167211,12.08340995
1075,Chaleins,1,84,9.039551135,6.861075317,11.90971983,9.372335348,7.409663525,11.85487972
1076,Chaley,1,84,6.552576269,4.894431339,8.772470749,8.63555202,6.72107751,11.09535764
1077,Challes-la-Montagne,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1078,Challex,1,84,16.68214561,12.56990023,22.13971291,19.61771783,14.87709152,25.8689578
1079,Champagne-en-Valromey,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1080,Champdor-Corcelles,1,84,7.441198704,5.672104712,9.76206205,8.63555202,6.72107751,11.09535764
1081,Champfromier,1,84,9.729397173,7.139324257,13.25912172,8.585799582,6.342409501,11.62270497
1082,Chanay,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1083,Chaneins,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1084,Chanoz-Châtenay,1,84,7.961274819,6.186522222,10.24515786,8.476782424,6.60874808,10.87283694
1085,La Chapelle-du-Châtelard,1,84,7.961274819,6.186522222,10.24515786,9.372335348,7.409663525,11.85487972
1087,Charix,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1088,Charnoz-sur-Ain,1,84,9.168363816,7.217073701,11.64722692,8.63555202,6.72107751,11.09535764
1089,Château-Gaillard,1,84,8.986277612,6.908752876,11.6885329,8.63555202,6.72107751,11.09535764
1090,Châtenay,1,84,8.986277612,6.908752876,11.6885329,8.476782424,6.60874808,10.87283694
1091,Châtillon-en-Michaille,1,84,9.729397173,7.139324257,13.25912172,11.10170018,8.195524504,15.03842088
1092,Châtillon-la-Palud,1,84,8.986277612,6.908752876,11.6885329,8.63555202,6.72107751,11.09535764
1093,Châtillon-sur-Chalaronne,1,84,8.503707146,6.588874895,10.97502022,9.695160951,7.769904686,12.09746447
1094,Chavannes-sur-Reyssouze,1,84,7.479481394,6.039392664,9.262958221,8.609190063,6.502321926,11.39872101
1095,Nivigne et Suran,1,84,7.205213143,5.550245815,9.353657147,7.630536274,5.961964682,9.766090028
1096,Chaveyriat,1,84,7.961274819,6.186522222,10.24515786,8.476782424,6.60874808,10.87283694
1097,Chavornay,1,84,7.441198704,5.672104712,9.76206205,8.899090638,6.738875339,11.75178501
1098,Chazey-Bons,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1099,Chazey-sur-Ain,1,84,9.168363816,7.217073701,11.64722692,8.63555202,6.72107751,11.09535764
1100,Cheignieu-la-Balme,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1101,Chevillard,1,84,7.441198704,5.672104712,9.76206205,8.63555202,6.72107751,11.09535764
1102,Chevroux,1,84,7.502677858,6.173124137,9.118587896,8.476782424,6.60874808,10.87283694
1103,Chevry,1,84,18.6577416,13.81009536,25.20701795,17.58543236,12.61469177,24.51486228
1104,Chézery-Forens,1,84,9.729397173,7.139324257,13.25912172,8.585799582,6.342409501,11.62270497
